"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0","ABCDEF","9/2+","2.4 m 1 , % β- = 100","","","","","",
"311.37 3","ABCDE","1/2-","18.0 m 3 , % IT = 4.4, % β- = 95.6","311.39 3","100","M4","0","9/2+",
"604.18 7","AB DE","3/2-","< 1.0 ns","292.9 1","100","M1,E2","311.37","1/2-",
"654.27 7","AB","(3/2)+","130 ns 15","50.2 1 ,    343.0 1","2.1 2 ,   100 9","[E1], E1","604.18,    311.37","3/2-, 1/2-",
"720.60 11","B   F","(7/2+)","","720.7 2","100","","0","9/2+",
"788.26 9","AB","1/2+,3/2+","2.00 ns 15","134.0 1 ,    184.1 1 ,    476.7 3","100 7 ,     3.2 6 ,    12.8 17","E2(+M1), [E1], [E1]","654.27,    604.18,    311.37","(3/2)+, 3/2-, 1/2-",
"941.43 8","AB D","5/2+","","153.5 3 ,    287.6 3 ,    337.6 3 ,    941.2 1","2.3 9 ,    14 4 ,    17.4 23 ,   100 8",", , ,","788.26,    654.27,    604.18,      0","1/2+,3/2+, (3/2)+, 3/2-, 9/2+",
"1025.02 7","B D F","(11/2+)","","304.6 4 ?,   1025.0 1","0.7 3 ,   100 5",",","720.60,      0","(7/2+), 9/2+",
"1044.44 20","A  DE","5/2-","","441.1 7 ,    733.0 2","26 5 ,   100 14",",","604.18,    311.37","3/2-, 1/2-",
"1050.21 8","A  D","(5/2+)","","446.2 4 ,   1050.2 1","28 2 ,   100 8",",","604.18,      0","3/2-, 9/2+",
"1143.00 11","B   F","(11/2+)","","422.4 1 ,   1142.7 4","100 6 ,     9.7 13",",","720.60,      0","(7/2+), 9/2+",
"1203.71 7","B   F","(13/2+)","","178.6 1 ,   1203.7 1","6.9 9 ,   100 6",",","1025.02,      0","(11/2+), 9/2+",
